spotify_id;track_url;title;artist;album;album_url;release_date
3tiXJf2dOHqaxaPMzEmfa2;https://open.spotify.com/track/3tiXJf2dOHqaxaPMzEmfa2;I’m So Depressed;Abner Jay;One Man Band;https://open.spotify.com/album/7A4J5ZpBuSLKbOF31FBrta;2003-06-15
5oeFMb1rbllXWxafIFxX52;https://open.spotify.com/track/5oeFMb1rbllXWxafIFxX52;It's All Over Now, Baby Blue;Joan Baez;Baez Sings Dylan;https://open.spotify.com/album/5WfJY3Ke6v1ybgSoAnEdIG;2006-01-01
2tKfI2OGJA3xrAxhJg2Htp;https://open.spotify.com/track/2tKfI2OGJA3xrAxhJg2Htp;Night After Night;Laura Marling;A Creature I Don't Know;https://open.spotify.com/album/4m5V9tVSVClEXDeBT1dk2F;2011-09-13
1lGtL5qXYlQbkyZb3FH9Mr;https://open.spotify.com/track/1lGtL5qXYlQbkyZb3FH9Mr;Children's Blues;Lead Belly;Selected Sides 1934-1948 (Remastered);https://open.spotify.com/album/1bxhSsjxClFjGAyXVrfLrT;2014-03-10
5UlokrsKgBObpODBXwTW0B;https://open.spotify.com/track/5UlokrsKgBObpODBXwTW0B;Freight train;Elizabeth Cotten;Freight Train and Other North Carolina Folk Songs and Tunes;https://open.spotify.com/album/37QSIS1QNLCfRvC3OUcqgd;1989-12-01
1iImpmVEGX4Gw1e1VCGAy9;https://open.spotify.com/track/1iImpmVEGX4Gw1e1VCGAy9;Waiting Around To Die;Townes Van Zandt;Townes Van Zandt;https://open.spotify.com/album/20D3qgX3pvs91Ctaqv8eFA;2007-05-15
72qjbBQRibASxw4MQ1qj50;https://open.spotify.com/track/72qjbBQRibASxw4MQ1qj50;When I Was A Young Girl;Barbara Dane;WomenFolk - Iconic Women of American Folk;https://open.spotify.com/album/1gTTDUTLhG2rKJNdZy5UrB;2007-07-01
6j1fiAG1NFBqPDRfJY19Yv;https://open.spotify.com/track/6j1fiAG1NFBqPDRfJY19Yv;The Lonesome Death of Hattie Carroll;Bob Dylan;The Times They Are A-Changin';https://open.spotify.com/album/7DZeLXvr9eTVpyI1OlqtcS;1964-01-13
6Rt7oArVuGeJN1MLyYbZ3d;https://open.spotify.com/track/6Rt7oArVuGeJN1MLyYbZ3d;In My Time Of Dying;The Be Good Tanyas;A Collection [2000-2012];https://open.spotify.com/album/0GQsdrjxlfufQt0bXdBLVA;2012-07-17
6ttP6qHNA1g8nuWtgb1Dff;https://open.spotify.com/track/6ttP6qHNA1g8nuWtgb1Dff;Banks Of The Ohio;Johnny Cash;Unearthed;https://open.spotify.com/album/5xeMctXQWNmMq4aAjwuR3e;2003-01-01
1U5xcgbDdjcYSfYpjNcO6A;https://open.spotify.com/track/1U5xcgbDdjcYSfYpjNcO6A;Down In The Willow Garden;Billie Joe Armstrong;Foreverly;https://open.spotify.com/album/7lkScvsKOs3isiwn8bXFos;2013-11-22
32bWrTyHKPaUdzgxIRZ42D;https://open.spotify.com/track/32bWrTyHKPaUdzgxIRZ42D;Walking Down Death Row;Pete Seeger;Dangerous Songs!?;https://open.spotify.com/album/4wxklTvIz4TNCgumGFTtXA;1966
0W0euvQlhbcsTydzsD4EQk;https://open.spotify.com/track/0W0euvQlhbcsTydzsD4EQk;Death Letter Blues;Son House;Father Of The Delta Blues: The Complete 1965 Sessions;https://open.spotify.com/album/5SsZBxF3sRSJnFd0rZ3vcF;1992-06-18
4ghvDvK0tWXLfvG4znwpAe;https://open.spotify.com/track/4ghvDvK0tWXLfvG4znwpAe;Alabama Blues;J.B. Lenoir;Passionate Blues;https://open.spotify.com/album/7gmDAUOzdSNJf0x8HEhRFh;1979
4fMd0R9aSoaz1qpUuUOFxE;https://open.spotify.com/track/4fMd0R9aSoaz1qpUuUOFxE;Blues On The Ceiling;Karen Dalton;It's So Hard To Tell Who's Going To Love You The Best;https://open.spotify.com/album/1O330PE8lc1dDXduHBwLXe;1969
2uVUZwcEiNvbkFeRjLuJaV;https://open.spotify.com/track/2uVUZwcEiNvbkFeRjLuJaV;Psycho;Eddie Noack;Psycho - The K-Ark and Allstar Recordings 1962-1969;https://open.spotify.com/album/5b6EaHkqdhTqJXuNZ7pdSR;1968
